num__items,c__quicksort,cpp__quicksort,rust__sort,rust__unstable_sort
78000,0.007885,0.004335,0.0038644,0.0000438
78000,0.007459,0.004486,0.0032877,0.0000451
78000,0.007743,0.004454,0.0032706,0.0000439
79000,0.007420,0.004469,0.0046337,0.0000469
79000,0.007874,0.004984,0.0035382,0.000046
79000,0.007460,0.004596,0.0034706,0.0000443
79000,0.007130,0.004567,0.0034587,0.0000457
79000,0.007880,0.004507,0.0035036,0.0000458
80000,0.007509,0.004713,0.004548,0.0001031
80000,0.007872,0.005115,0.0034494,0.0000459
80000,0.007990,0.004544,0.0035365,0.0000468
80000,0.008408,0.004711,0.003396,0.0000473
80000,0.008375,0.004600,0.0034521,0.0000449
81000,0.007459,0.004591,0.0038415,0.0000454
81000,0.008037,0.005989,0.003494,0.0000476
81000,0.007503,0.004796,0.003372,0.0000457
81000,0.007776,0.004671,0.0035502,0.0000456
81000,0.008296,0.004606,0.0034371,0.0000468
82000,0.007591,0.004688,0.004525,0.0000597
82000,0.008191,0.005046,0.0041451,0.0000477
82000,0.007686,0.004830,0.0037422,0.0000461
82000,0.007713,0.004787,0.0036151,0.0000461
82000,0.008559,0.004612,0.0037153,0.0000707
83000,0.007809,0.005271,0.00382,0.0000475
83000,0.008878,0.004768,0.0038414,0.000048
83000,0.008067,0.005136,0.0040236,0.000047
83000,0.008106,0.004800,0.0038653,0.0001008
83000,0.008148,0.004720,0.0036978,0.0000918
84000,0.008365,0.005178,0.0037896,0.0000822
84000,0.008412,0.004871,0.0038194,0.0000472
84000,0.008331,0.004726,0.0037464,0.0000573
84000,0.007983,0.004964,0.0037953,0.0000472
